Time,M1,M2
149,0.781584093,0.476491448
150,0.641251151,0.843272267
151,0.86336784,0.419314583
152,0.441022034,0.823252704
153,0.929520626,0.480231107
154,0.240018025,0.83792139
155,0.689133292,0.45924267
156,0.807739084,0.843867587
157,0.576494798,0.406612803
158,0.923076271,0.825723096
159,0.254580473,0.442689194
160,0.718869172,0.854488148
161,0.755680581,0.38604232
162,0.695749781,0.80620979
163,0.793173283,0.501950853
164,0.615425139,0.843135959
165,0.888995,0.421391032
166,0.367502691,0.823403044
167,0.877236903,0.484728422
168,0.40072638,0.840165993
169,0.90581651,0.443070705
170,0.316162434,0.831549433
171,0.816316153,0.469230032
172,0.562126746,0.841043027
173,0.925877561,0.430091965
174,0.252823303,0.826038033
175,0.713657152,0.48623987
176,0.76959219,0.846576621
177,0.66078582,0.40247476
178,0.846443104,0.820434927
179,0.480024238,0.460068982
180,0.944066797,0.851751757
181,0.184575573,0.37761861
182,0.570534255,0.81700385
183,0.921772118,0.485989662
184,0.265052031,0.838475249
185,0.735793125,0.456241605
186,0.732012099,0.841442255
187,0.733128549,0.417684479
188,0.737349775,0.826787229
189,0.723734693,0.452464863
190,0.753233301,0.840894276
191,0.693649211,0.417597658
192,0.801706611,0.828061186
193,0.590820618,0.445206533
194,0.913395395,0.84344889
195,0.285188095,0.400517823
196,0.772367754,0.831223705
197,0.655259857,0.439657171
198,0.852636838,0.839208425
199,0.463148791,0.415038555
200,0.940995064,0.834357467
201,0.195286219,0.420907695
202,0.595524195,0.846529628
203,0.905242909,0.414379949
204,0.318454811,0.819333063
205,0.819538697,0.497218737
206,0.55385128,0.842373726
207,0.929649155,0.427406829
208,0.240579324,0.824768739
209,0.690295023,0.489964648
210,0.805629252,0.847589908
211,0.581388024,0.397506937
212,0.920206645,0.81974464
213,0.263933538,0.456825021
214,0.735824548,0.858830009
215,0.726030809,0.373787731
216,0.75043065,0.797536108
217,0.699711149,0.517273281
218,0.791199899,0.845000368
219,0.614398668,0.404926476
220,0.895293464,0.823460685
221,0.341478914,0.449827032
222,0.851437919,0.853900841
223,0.466126407,0.378476198
224,0.942111448,0.809198459
225,0.191995275,0.479398684
226,0.587664894,0.866151168
227,0.91061636,0.365046098
228,0.302649641,0.784662699
229,0.797251218,0.572386787
230,0.605111789,0.820153651
231,0.898090052,0.476552968
232,0.339232629,0.83883683
233,0.846093423,0.450398743
234,0.487211913,0.835902651
235,0.941233332,0.447511994
236,0.201765694,0.831660476
237,0.608657925,0.476580606
238,0.899333639,0.849874397
239,0.328737636,0.385412022
240,0.836008982,0.818907628
241,0.507279982,0.464273606
242,0.945088273,0.85169135
243,0.181107961,0.377702299
