"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","subcat_ESU","subcat_MFS","subcat_IMN","subcat_UPS","sum_subcat"
"31","harv.NBC.4","harv","NBC",4,0.51217035,0.45480799,-99,-99,1,NA,NA,NA,1
"32","harv.NBC.5","harv","NBC",5,0.50003566,0.50811263,0.32956455,-99,NA,1,1,NA,2
"33","harv.ORWA.4","harv","ORWA",4,0.38689186,0.30403254,0.39337832,0.40482852,NA,NA,1,NA,1
"34","harv.ORWA.5","harv","ORWA",5,0.47281512,0.42472607,0.35495328,0.446011226,1,1,NA,1,3
"35","harv.ORWAsport.5","harv","ORWAsport",5,0.46171236,0.43623995,-99,0.486997682,1,1,NA,1,3
"36","harv.PACtot.5","harv","PACtot",5,0.42923014,0.31234152,-99,0.46105283,1,1,NA,1,3
"37","harv.SEAK.4","harv","SEAK",4,0.42359907,0.42690361,0.12569434,0.284319033,NA,1,NA,NA,1
"38","harv.SEAK.5","harv","SEAK",5,0.48495316,0.38945338,0.22482118,0.360381587,1,NA,1,1,3
"39","harv.stock.0","harv","stock",0,0.49870115,0.37678143,-99,-99,1,1,NA,NA,2
"40","harv.WCVI.5","harv","WCVI",5,0.36543014,0.34061368,-99,0.26325266,1,1,NA,1,3
"41","hatch.all.1","hatch","all",1,0.38408146,0.46223386,0.28818525,0.401949536,NA,1,1,1,3
"42","hatch.all.2","hatch","all",2,0.38733895,0.3699424,-99,-99,1,NA,NA,NA,1
"43","hatch.BC.1","hatch","BC",1,0.38097418,0.3982883,0.26904211,0.286294731,NA,NA,1,1,2
"44","hatch.BC.2","hatch","BC",2,0.37086684,0.41094289,0.26497527,0.253518503,NA,1,NA,NA,1
"45","hatch.BC.3","hatch","BC",3,0.38240384,0.38417141,-99,-99,1,NA,NA,NA,1
"46","hatch.CAOR.2","hatch","CAOR",2,0.29799738,0.41572072,-99,0.222423135,NA,1,NA,1,2
"47","hatch.CAOR.3","hatch","CAOR",3,0.37582768,0.40058851,-99,-99,1,NA,NA,NA,1
"48","hatch.SAL.1","hatch","SAL",1,0.29126938,0.35301609,-99,0.191578502,1,1,NA,1,3
"49","hatch.SNAK.3","hatch","SNAK",3,0.30343348,0.26364085,0.23350733,-99,1,1,1,NA,3
"50","hatch.spring.3","hatch","spring",3,0.4808121,0.45052663,0.32148102,0.281780573,1,1,1,1,4
"51","hatch.sum.1","hatch","sum",1,0.32626554,0.42262217,0.02713874,0.344684339,NA,1,NA,1,2
"52","hatch.summer.2","hatch","summer",2,0.28458184,0.28747638,-99,-99,NA,1,NA,NA,1
"53","hatch.summer.3","hatch","summer",3,0.31579053,0.26069005,0.20076732,-99,1,NA,1,NA,2
"54","hatch.total.1","hatch","total",1,0.35623502,0.36111475,-99,0.147402973,NA,NA,NA,1,1
"55","hatch.total.3","hatch","total",3,0.46717424,0.43705212,0.26321206,-99,1,1,1,NA,3
"56","hatch.WA.1","hatch","WA",1,0.42116815,0.46364689,0.32947557,-99,1,1,1,NA,3
"57","hatch.WAK.1","hatch","WAK",1,0.2469448,0.35029324,0.10602607,-99,NA,1,1,NA,2
"58","hatch.WAK.2","hatch","WAK",2,0.27418666,0.31260838,-99,-99,1,NA,NA,NA,1
"59","hatch.WAK.3","hatch","WAK",3,0.25245358,0.23174155,0.04398753,0.063982597,NA,NA,NA,1,1
"60","npgo.fal.2","npgo","fal",2,0.42449845,0.35070523,0.23526543,0.318387407,1,NA,NA,1,2
"61","npgo.spr.2","npgo","spr",2,0.47339195,0.42673591,0.27466367,0.415344935,1,NA,1,1,3
"62","npgo.spr.3","npgo","spr",3,0.46412531,0.42799659,0.21130619,0.274208035,NA,1,NA,NA,1
"63","npgo.sum.2","npgo","sum",2,0.46043598,0.41718022,0.23200799,0.302319645,1,NA,NA,NA,1
"64","npgo.win.2","npgo","win",2,0.48911141,0.39900182,0.29567371,0.279727461,1,NA,1,NA,2
"65","npgo.yravg.2","npgo","yravg",2,0.47452743,0.38823223,0.30570934,0.309016173,1,1,1,1,4
"66","npgo.yrsum.2","npgo","yrsum",2,0.48348189,0.39403946,0.28585958,0.330758911,1,1,1,1,4
"67","orca.DNRKW.4","orca","DNRKW",4,0.42989483,0.21404309,0.01420335,0.2373274346,1,1,NA,1,3
"68","orca.DNRKW.5","orca","DNRKW",5,0.36741182,0.19391994,0.10601631,-99,NA,NA,1,NA,1
"69","orca.DSEAK.5","orca","DSEAK",5,0.54421555,0.37233375,-99,0.2719976089,1,1,NA,1,3
"70","orca.NRKW.5","orca","NRKW",5,0.29659233,0.27807507,-99,-99,1,1,NA,NA,2
"71","orca.SRKWbirthsJKL.4","orca","SRKWbirthsJKL",4,0.29814571,0.32263128,0.1590977,0.2139633245,NA,NA,1,1,2
"72","orca.SRKWbirthsJKL.5","orca","SRKWbirthsJKL",5,0.3058876,0.33418079,0.09489514,0.1479035592,1,1,NA,NA,2
"73","orca.SRKWdeathsJKL.4","orca","SRKWdeathsJKL",4,0.41829121,0.34456843,0.24843815,0.2475367082,1,1,NA,1,3
"74","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.40664173,0.30357208,0.3344932,-99,NA,NA,1,NA,1
"75","orca.SRKWpodJ.5","orca","SRKWpodJ",5,0.19358425,0.11298187,-99,-99,1,1,NA,NA,2
"76","orca.SRKWpodJKL.4","orca","SRKWpodJKL",4,0.21954926,0.25928086,-99,-99,NA,1,NA,NA,1
"77","orca.SRKWpodJKL.5","orca","SRKWpodJKL",5,0.23554897,0.21557721,-99,-99,1,NA,NA,NA,1
"78","orca.SRKWpodK.5","orca","SRKWpodK",5,0.30172347,0.26685374,-99,0.0652068375,1,1,NA,1,3
"79","orca.SRKWpodKL.4","orca","SRKWpodKL",4,0.21201392,0.25376589,-99,-99,1,NA,NA,NA,1
"80","orca.SRKWpodKL.5","orca","SRKWpodKL",5,0.18706382,0.27860246,-99,-99,NA,1,NA,NA,1
"81","orca.SRKWpodL.4","orca","SRKWpodL",4,0.15130921,0.25451317,-99,-99,NA,1,NA,NA,1
"82","orca.SRKWpodL.5","orca","SRKWpodL",5,0.18946337,0.21734789,-99,-99,1,NA,NA,NA,1
"83","pdo.fal.2","pdo","fal",2,0.35410372,0.29020087,0.30586507,0.0991708154,NA,NA,1,NA,1
"84","pdo.sum.2","pdo","sum",2,0.33706308,0.27696599,0.34272579,0.1868183297,NA,NA,1,NA,1
"85","pdo.yr.2","pdo","yr",2,0.34418714,0.2563149,0.2387579,-99,NA,NA,1,NA,1
"86","pdo.yr.3","pdo","yr",3,0.35537692,0.25930274,0.14603056,-99,1,NA,NA,NA,1
"87","ssl.bonn.4","ssl","bonn",4,0.14898058,0.09099469,0.06602362,-99,NA,NA,1,NA,1
"88","ssl.COL.2","ssl","COL",2,0.62229764,-99,0.41105084,-99,1,NA,1,NA,2
"89","ssl.COL.3","ssl","COL",3,0.57618731,-99,0.25178829,0.3648057295,NA,NA,NA,1,1
"90","ssl.rookORraw.3","ssl","rookORraw",3,0.30757637,0.2258134,-99,-99,1,1,NA,NA,2
"91","ssl.rookORraw.5","ssl","rookORraw",5,0.18314684,0.0977025,0.24762563,-99,NA,NA,1,NA,1
"92","upw.fal.4","upw","fal",4,0.25109326,0.40685904,-99,0.1608613301,NA,1,NA,NA,1
"93","upw.fti.2","upw","fti",2,0.40484302,0.27786223,0.23284581,0.1745265894,1,NA,1,NA,2
"94","upw.fti.3","upw","fti",3,0.34822168,0.30461344,0.14682899,0.113887683,NA,1,NA,NA,1
"95","upw.fti.4","upw","fti",4,0.34368991,0.28157541,0.14502549,0.1814640121,NA,NA,NA,1,1
"96","upw.lusi.2","upw","lusi",2,0.39413524,0.25705972,0.27143067,-99,NA,NA,1,NA,1
"97","upw.lusi.4","upw","lusi",4,0.42771386,0.47645317,0.22460461,0.2532663808,NA,1,NA,1,2
"98","upw.lusi.5","upw","lusi",5,0.45554133,0.47389034,0.2214296,-99,1,NA,NA,NA,1
"99","upw.sti.2","upw","sti",2,0.37592998,0.36980878,0.2337419,-99,NA,NA,1,NA,1
"100","upw.sti.3","upw","sti",3,0.34218796,0.40938116,-99,-99,NA,1,NA,NA,1
"101","upw.sti.4","upw","sti",4,0.41254596,0.37202727,-99,-99,1,NA,NA,NA,1
"102","upw.sti.5","upw","sti",5,0.39273025,0.38495348,-99,0.2559049864,NA,NA,NA,1,1
"103","upw.tdmi.4","upw","tdmi",4,0.44797301,0.40303473,0.21956059,0.35006844,1,1,1,1,4
"104","upw.tumi.3","upw","tumi",3,0.38482609,0.35199926,-99,0.1299610563,1,NA,NA,NA,1
"105","upw.tumi.4","upw","tumi",4,0.36504106,0.35977204,-99,0.1795620747,NA,1,NA,1,2
"106","upw.yr.3","upw","yr",3,0.34377218,0.37048774,0.14884709,0.1301666116,NA,1,NA,NA,1
"107","upw.yr.5","upw","yr",5,0.34649555,0.30067349,-99,0.2884247152,NA,NA,NA,1,1
