FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
upw.sti.3,upw,sti,3,0.2325111,0.16572628,NA,NA,0.3947708,0.4380931,0.12840809,NA
upw.sti.4,upw,sti,4,0.2343436,0.22549592,NA,NA,0.4240606,0.3869128,NA,0.2696889645
upw.sti.5,upw,sti,5,0.2650288,0.26589221,NA,NA,0.4054009,0.4074146,NA,0.2820879911
upw.sum.2,upw,sum,2,0.1392047,0.15248747,0.009768342,NA,0.3653787,0.3449869,NA,NA
upw.sum.3,upw,sum,3,0.1416153,0.10408771,NA,NA,0.3465515,0.2819859,NA,NA
upw.sum.4,upw,sum,4,0.1424619,0.13812617,NA,NA,0.3233924,0.328343,0.22394312,0.1585938147
upw.sum.5,upw,sum,5,0.1641317,0.22899162,NA,NA,0.2959058,0.2869582,0.21788178,0.1811436952
upw.tdmi.2,upw,tdmi,2,0.3931996,0.42402452,NA,NA,0.3954352,0.3375482,0.18061167,0.1523233975
upw.tdmi.3,upw,tdmi,3,0.4266158,0.47550316,0.26133013,NA,0.4267537,0.4160645,0.19285457,0.2419817478
upw.tdmi.4,upw,tdmi,4,0.4524209,0.48833447,0.283673301,0.272220535,0.4660473,0.4286801,0.23811315,0.3677585962
upw.tdmi.5,upw,tdmi,5,0.4673475,0.46710227,0.262629678,0.304851968,0.4518198,0.4097279,0.19397914,0.3373062622
upw.tumi.2,upw,tumi,2,0.1731104,0.16437434,NA,NA,0.3991342,0.3486681,0.30223447,NA
upw.tumi.3,upw,tumi,3,0.2485801,0.18299831,0.124561747,NA,0.3949358,0.3720123,0.3007563,0.1408619721
upw.tumi.4,upw,tumi,4,0.2762025,0.31669062,0.057184753,NA,0.3792014,0.3888683,0.29516946,0.192130366
upw.tumi.5,upw,tumi,5,0.2817072,0.3120744,NA,NA,0.3729846,0.3709126,0.29003003,0.1614513887
upw.win.2,upw,win,2,0.2773771,0.18808865,NA,NA,0.2872854,0.3000497,0.09721871,NA
upw.win.3,upw,win,3,0.2949173,0.28990125,0.12348041,NA,0.3285125,0.3568759,0.09674776,NA
upw.win.4,upw,win,4,0.302548,0.28885179,0.090601199,NA,0.3305576,0.2700479,0.16916909,0.1157861878
upw.win.5,upw,win,5,0.3046651,0.29847943,NA,NA,0.3064735,0.2939565,0.17670139,0.1242722235
upw.yr.2,upw,yr,2,0.3407083,0.31303953,NA,NA,0.2980208,0.2812484,0.16410788,0.1125893822
upw.yr.3,upw,yr,3,0.3481666,0.39102656,NA,0.123086054,0.3571005,0.3756315,0.16288168,0.1568462786
upw.yr.4,upw,yr,4,0.3329188,0.37969106,NA,NA,0.3408201,0.3042862,0.18412975,0.2213179557
upw.yr.5,upw,yr,5,0.374085,0.37284659,NA,0.226454844,0.3539797,0.3425255,0.17292371,0.2946793677
