year,pdo-jan,pdo-feb,pdo-mar,pdo-apr,pdo-may,pdo-jun,pdo-jul,pdo-aug,pdo-sep,pdo-oct,pdo-nov,pdo-dec,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-jan,npgo-feb,npgo-mar,npgo-apr,npgo-may,npgo-jun,npgo-jul,npgo-aug,npgo-sep,npgo-oct,npgo-nov,npgo-dec,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-jan,upw-feb,upw-mar,upw-apr,upw-may,upw-jun,upw-jul,upw-aug,upw-sep,upw-oct,upw-nov,upw-dec,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,up48-STI,up48-FTI,up48-LUSI,up48-TUMI,up48-TDMI,arc-win,arc-spr,arc-sum,arc-fal
1967,-0.27,-0.29,-0.82,-1.13,-1.6,-1.25,-1.22,-1.63,-0.69,-0.17,0.29,-0.72,-0.791666667,-0.266666667,-1.183333333,-1.366666667,-0.19,-0.73605125,-0.61006085,-1.1191961,-0.89138072,-0.99509831,-1.252485,-1.1731513,-0.75379956,-0.051677917,0.007117774,-0.58751481,-0.23339957,-0.699724801,-8.39158,-0.630369217,-1.00189171,-1.059811953,-0.210691651,-67,-27,-12,10,51,85,70,58,3,-97,-32,-51,-0.75,-86.66666667,16.33333333,71,-42,87,271,185,5731.6,-23768,-0.164486399,-0.129832184,0.420874899,0.394542957
1968,-0.66,-0.26,-0.03,-0.78,-0.76,0.14,0.41,-0.03,0.26,-0.22,0,-0.32,-0.1875,-0.546666667,-0.523333333,0.173333333,0.013333333,-0.76610972,-0.6258595,-0.63205407,-1.1582636,-1.2594507,-1.0381912,-1.0214287,-0.95952812,-0.91457811,-0.73758116,-0.22530564,-0.86887064,-0.850601763,-10.211,-0.541789597,-1.016589457,-1.006382673,-0.625821637,-107,-175,-55,30,18,30,53,18,8,-76,-132,-87,-39.58333333,-111,-2.333333333,33.66666667,-66.66666667,87,276,190,5043.6,-25518,-0.230163291,0.060227303,0.578570952,-0.03701065
1969,-0.75,-1.25,-1.23,-1.08,-1.02,0.81,-0.49,-1.06,-1.19,0.87,0.58,1.08,-0.394166667,-0.773333333,-1.11,-0.246666667,0.086666667,-2.5593478,-0.7369928,-0.7334626,-0.1832465,-0.090880893,-0.77551688,-0.73089032,-0.23232563,0.015210575,0.28993968,-0.04127024,1.1272413,-0.387628509,-4.649,-1.388403747,-0.335863331,-0.57957761,0.087960005,-61,-116,-6,-41,9,57,62,18,-3,-27,-99,-196,-33.58333333,-88,-12.66666667,45.66666667,-43,117,258,142,3948.7,-20161,-0.298990054,-0.512592143,-0.060797749,-0.327196496
1970,1.03,0.97,1.18,0.31,-0.84,-0.04,-0.97,-1.83,-1.72,-1.19,-0.94,-0.95,-0.415833333,1.026666667,0.216666667,-0.946666667,-1.283333333,-0.19163922,-0.32133677,-0.41263578,-0.22177049,0.48417772,0.37084586,0.27240294,0.41332336,0.39857819,0.22630739,-0.21421458,-0.071520774,0.061043154,0.7315,0.204755103,-0.050076183,0.35219072,0.136890333,-91,-73,-2,23,18,33,43,36,1,-25,-63,-106,-17.16666667,-120,13,37.33333333,-29,75,286,212,4752.4,-17111,0.04371207,-0.088696408,-0.555201363,-0.37902819
1971,-1.32,-1.53,-1.64,-1.74,-1.72,-1.69,-2.29,-0.42,-0.23,-0.44,-1.32,-1.77,-1.3425,-1.266666667,-1.7,-1.466666667,-0.663333333,-0.20162668,0.059600681,0.45392927,0.85376876,0.49495693,0.41262019,0.79092532,0.70605099,0.52842538,0.3306484,0.18247128,-0.027959273,0.381984271,4.5836,-0.071182258,0.600884987,0.636532167,0.347181687,-26,-18,-55,-14,42,6,39,15,1,-7,-56,-20,-7.75,-50,-9,20,-20.66666667,103,242,140,2492.9,-9269.3,-0.532571636,-0.959956493,-0.935216983,-1.093681804
1972,-2.12,-1.99,-1.61,-1.76,-2.16,-1.88,-1.55,-0.22,-0.13,-0.16,-0.04,-0.4,-1.168333333,-1.96,-1.843333333,-1.216666667,-0.11,-0.5305133,-0.40844138,-0.69411044,-0.68113067,-0.74738833,-0.7609987,-0.32239863,-0.42736154,-0.92539715,-1.0954562,-0.55620606,-0.76224231,-0.659303726,-7.914,-0.322304651,-0.707543147,-0.50358629,-0.859019803,-8,-83,-32,-5,11,27,15,27,8,5,-84,-66,-15.41666667,-37,-8.666666667,23,-23.66666667,103,303,201,2784.1,-13978,-1.234347514,-0.799153531,-0.435185503,-0.595541561
1973,-0.22,-0.59,-0.89,-1.4,-1.63,-1.45,-1.42,-1.64,-1.14,-1.37,-1.5,-0.96,-1.184166667,-0.403333333,-1.306666667,-1.503333333,-1.336666667,-0.048363215,-0.50339577,-0.072347531,-0.050589071,0.25466121,0.51442802,0.32357245,0.16718172,0.3572996,0.35027916,-0.11299269,0.33929289,0.126585564,1.5187,-0.438000432,0.043908203,0.33506073,0.198195357,-151,-56,-7,23,9,11,32,54,0,-11,-26,-104,-18.83333333,-91,8.333333333,32.33333333,-12.33333333,80,257,178,3541.7,-14056,-0.530981915,-0.561216996,-0.774937296,-0.797396975
1974,-0.92,-1.39,-1.29,-0.7,-0.78,-0.5,-0.15,-0.33,0.6,0.08,0.57,0.31,-0.375,-1.09,-0.923333333,-0.326666667,0.416666667,-1.0033867,-0.38642797,-0.026205274,0.014818799,-0.16634801,0.21918141,0.37670197,0.26162988,-0.16775789,0.007498616,0.04270522,0.71586735,-0.009310217,-0.1072,-0.350173927,-0.059244828,0.285837753,-0.039184685,-31,-46,-31,-3,12,38,19,37,4,-1,-50,-80,-11,-60.33333333,-7.333333333,31.33333333,-15.66666667,98,294,197,3118.9,-11021,-0.481572868,-0.533318635,-0.42109394,-0.01720136
1975,-0.66,-1.01,-1.15,-1.85,-2.04,-1.69,-0.98,-1.65,-1.67,-1.63,-1.74,-1.46,-1.460833333,-0.453333333,-1.68,-1.44,-1.68,0.63875186,0.98490837,0.7158461,0.64921899,0.71586507,0.45778814,0.51100819,1.0259992,0.57322177,0.95649585,1.273857,1.0790459,0.798500537,9.583,0.779842527,0.693643387,0.664931843,0.934524873,-24,-90,-4,17,15,59,45,14,10,-60,-104,-48,-14.16666667,-64.66666667,9.333333333,39.33333333,-51.33333333,81,272,192,4215,-13744,-0.44724131,-0.915837154,-1.137565823,-1.019243033
1976,-1.1,-1.05,-1.35,-1.4,-1.14,-1.26,0.26,0.92,0.53,1.07,1.31,1.2,-0.1675,-1.203333333,-1.296666667,-0.026666667,0.97,1.0782443,1.1829994,1.6799048,2.4363156,2.1807639,2.0671275,2.2670345,2.4363637,2.4321414,1.6933671,1.5746724,1.3296016,1.86321135,22.36,1.113429867,2.098994767,2.2568419,1.9000603,-63,-35,-24,-3,6,31,5,9,1,-6,-37,-53,-14.08333333,-48.66666667,-7,15,-14,101,278,178,1526.9,-9257.6,-0.822049423,-0.905070131,-0.812862786,-0.423847285
