year,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,upw-sti,upw-fti,upw-lusi,upw-tumi,upw-tdmi,arc-win,arc-spr,arc-sum,arc-fal
1986,0.96,0.93,1.14,0.486666667,0.823333333,-0.732847288,-8.796,-1.299489367,-0.64380841,-0.87517878,-0.52108112,-41.66666667,-183.6666667,-14.66666667,55.66666667,-11,148,283,136,4109.6,-21205,0.246118317,0.386612216,0.053768348,0.470028803
1987,1.118333333,1.513333333,1.19,1.026666667,0.993333333,0.429174729,5.15,0.332657383,0.343507177,0.386701817,0.270996813,-29.5,-154.3333333,-6.666666667,48,-31.33333333,124,256,133,3519.4,-24157,0.458550843,0.283634292,-0.276376541,0.149015308
1988,-0.0775,0.56,0.373333333,-0.356666667,-0.533333333,1.323636763,15.88,0.864785787,1.44001996,1.620138567,1.348611333,-15.66666667,-94.33333333,-5.666666667,40.33333333,-26.66666667,155,267,113,913.38,-10793,0.013210228,-0.0596399,-0.220489463,-0.235127068
1989,-0.551666667,-0.946666667,-0.58,-0.026666667,-0.666666667,0.612240617,7.34,0.90987403,0.765536273,0.817697393,0.265145737,-6.333333333,-46,-12.66666667,36.66666667,-3.666666667,96,276,181,3743,-10081,-0.339264697,0.060844575,0.174606448,0.121083998
1990,-0.856666667,-0.58,-0.62,-0.373333333,-1.146666667,-0.201546121,-2.4135,-0.061326097,0.266075202,-0.218046076,-0.339476523,-1.166666667,-34.33333333,3,29.33333333,-11.66666667,159,275,117,2465.5,-11546,0.006107249,0.039425113,0.357316227,0.252725717
1991,-0.933333333,-1.68,-1.496666667,-1.533333333,0.296666667,-0.498914711,-5.9865,-0.86051957,-0.357650575,-0.48043838,-0.736994307,-13.83333333,-47.66666667,9.333333333,22.33333333,-21.33333333,99,218,120,2090.1,-17205,0.045696271,-0.10719802,-0.294367106,0.125350233
1992,0.699166667,-0.006666667,0.56,1.143333333,0.933333333,-1.09491887,-13.141,-0.05881037,-1.35001079,-1.353519167,-1.065431133,-21.33333333,-122,7.333333333,40.66666667,-19.33333333,117,266,150,3770.6,-18025,0.037440882,0.490183583,0.596018105,0.352065735
1993,0.973333333,0.026666667,0.94,1.706666667,1.106666667,-1.901992588,-22.819,-2.2754968,-1.196724887,-1.624994,-2.466800167,-23.91666667,-76.66666667,-32,29,1.666666667,161,280,120,2554.8,-12287,0.066615085,0.446072639,0.513727288,0.278170569
1994,-0.534166667,0.636666667,0.416666667,-0.693333333,-1.56,-1.211598783,-14.543,-1.9444107,-1.201407147,-0.727166983,-1.301342867,-17.83333333,-64,-3,26.33333333,-12.66666667,166,291,126,1850.2,-21819,0.375463275,0.360792743,0.318088416,-0.027792794
1995,0.32,-0.98,0.486666667,0.433333333,0.493333333,-1.039208546,-12.462,-1.02555351,-1.794617567,-1.184481667,-0.56302038,-48.83333333,-166,-10.33333333,19.33333333,-29.33333333,100,263,164,2800.3,-17901,-0.280814344,0.181005307,0.135559121,0.265822192
1996,0.61,0.746666667,1.363333333,0.223333333,0.23,-0.972836612,-11.661,-0.49204,-0.953215387,-0.89747334,-1.025057713,-14.75,-104,-17.66666667,35.66666667,-12.33333333,142,275,134,3893.4,-13553,0.50961042,0.664384361,0.331541892,0.103066505
1997,1.223333333,0.236666667,0.826666667,1.93,1.58,-0.657690616,-7.887,-1.3694127,-0.667120213,-0.832194043,-0.300568757,-30.58333333,-42.33333333,-19.66666667,9.666666667,-56.33333333,155,232,78,1051.5,-27600,0.193926425,0.516392014,1.241186385,0.756686256
1998,-0.450833333,1.2,0.193333333,-0.92,-1.603333333,0.544553283,6.5353,0.896218193,0.564137517,0.261613697,0.286860811,-37.83333333,-159.3333333,3.333333333,41.66666667,-51.66666667,83,275,193,3342,-29687,0.370556194,0.270525195,0.036929395,-0.266513578
1999,-1.7825,-1.116666667,-1.683333333,-2.04,-2.29,1.515780517,18.17,1.38527183,1.7417763,1.573303333,1.268112267,-41.41666667,-131.3333333,-23.66666667,25,-36.33333333,109,277,169,3550.6,-21012,-0.396300294,-0.896252137,-0.91383573,-0.779979069
2000,-1.130833333,-1.096666667,-0.716666667,-1.283333333,-1.426666667,1.885861292,22.62,1.5269583,2.2449434,1.703159467,1.697654133,-25,-90.33333333,-11,27,-25.66666667,166,288,123,2014.6,-18281,-0.557699114,-0.225300096,0.090775407,-0.276632073
2001,-1.129166667,-0.1,-0.876666667,-1.816666667,-1.723333333,2.080693375,24.96,2.660991533,2.182203867,1.9216048,1.606477267,-29.33333333,-100,1.333333333,31.66666667,-50.33333333,120,232,113,2769.6,-22850,-0.056419415,-0.325571911,-0.196391989,-0.34946449
2002,-0.4925,-7.40E-17,-1.31,-0.796666667,0.136666667,1.47359396,17.687,2.0203324,1.29942382,1.26651045,1.102421137,-29.16666667,-112,4.333333333,35.33333333,-44.33333333,106,244,139,2760.2,-27586,-0.429384941,-0.343471747,-0.017439412,0.137312966
2003,0.32,0.83,0.486666667,0,-0.036666667,0.958507189,11.501,1.06204189,1.170563967,0.920806753,0.680616147,-41.5,-155.6666667,-24.33333333,32,-18,115,248,134,1946.8,-24397,0.459754833,0.34075584,0.495117412,0.401184831
2004,-0.354166667,-0.423333333,-0.033333333,-0.236666667,-0.723333333,0.209460249,2.5119,-0.01765584,0.23851165,0.624475453,-0.007490266,-17.58333333,-84.66666667,-0.666666667,19.33333333,-4.333333333,112,251,140,2304.2,-10108,0.042688825,0.399980405,0.890611382,0.358863335
2005,-0.279166667,-0.02,0.653333333,-0.083333333,-1.666666667,-1.38061641,-16.559,-1.468639067,-1.32059538,-1.359126267,-1.374104927,-11.58333333,-50.33333333,-8.333333333,29,-16.66666667,143,270,128,2763.3,-16829,0.153145955,0.640142128,0.753938463,0.014943703
2006,-0.464166667,0.126666667,-0.573333333,-0.35,-1.06,-0.553872743,-6.649,-0.623664967,-0.465919593,-0.331047367,-0.794859043,-8.416666667,-65.33333333,-10.33333333,55,-13,109,304,196,5628.2,-11371,0.160634203,-0.170944647,0.11486941,-0.078366115
